200603 181009.222|CONFIG|Thread-4|setFileHandlers|Now logging to E:\CODE\C++\pc2Client\bin\logs directory.
200603 192538.517|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1907, o#1907 ) recieveObject
200603 192538.518|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 192538.518|INFO|Thread-20|dumpPacket|    To: TEAM73 @ site 1
200603 192538.518|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 168 QUEUED_FOR_COMPUTER_JUDGEMENT 80 min 4816154ms from TEAM73 @ site 1 id Run-4877844221548584600 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 192538.518|INFO|Thread-20|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1907 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 192538.518|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1907, o#1907 ) handlePacket
200603 192538.518|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 192538.519|INFO|Thread-20|dumpPacket|    To: TEAM73 @ site 1
200603 192538.519|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 168 QUEUED_FOR_COMPUTER_JUDGEMENT 80 min 4816154ms from TEAM73 @ site 1 id Run-4877844221548584600 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 192541.833|INFO|Thread-21|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1911 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 192541.834|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #1911, o#1911 ) recieveObject
200603 192541.834|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 192541.834|INFO|Thread-21|dumpPacket|    To: TEAM73 @ site 1
200603 192541.834|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Time_Limit_Exceeded--7056410949384546913 id JudgementRecord--4446118459863051813
200603 192541.834|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 168 JUDGED 80 min 4816154ms from TEAM73 @ site 1 id Run-4877844221548584600 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 192541.834|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 192541.834|INFO|Thread-21|info|handlePacket start Packet[RUN_JUDGEMENT] #1911 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 192541.835|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #1911, o#1911 ) handlePacket
200603 192541.835|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 192541.835|INFO|Thread-21|dumpPacket|    To: TEAM73 @ site 1
200603 192541.835|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Time_Limit_Exceeded--7056410949384546913 id JudgementRecord--4446118459863051813
200603 192541.835|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 168 JUDGED 80 min 4816154ms from TEAM73 @ site 1 id Run-4877844221548584600 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 192541.835|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 192543.753|INFO|Thread-21|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 168 JUDGED 80 min 4816154ms from TEAM73 @ site 1 id Run-4877844221548584600 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949; runFiles=null
200603 192543.754|INFO|Thread-21|runChanged|Event not for me: sent to null but my ID is TEAM73 @ site 1
200603 192543.754|INFO|Thread-21|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1911 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 192544.682|INFO|Thread-20|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1907 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193947.361|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 7 C/C++ file: C:\Users\Admin\Desktop\kt\bai7.cpp
200603 193947.365|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 193947.365|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 193948.269|INFO|Thread-23|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2323 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193948.269|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2323, o#2323 ) recieveObject
200603 193948.269|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 193948.269|INFO|Thread-23|dumpPacket|    To: TEAM73 @ site 1
200603 193948.270|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 221 QUEUED_FOR_COMPUTER_JUDGEMENT 94 min 5665390ms from TEAM73 @ site 1 id Run-8340792647672545717 problem KIEM_TRA_-_BAI_7--8266370855742201287 lang C/C++-5592322842927734949
200603 193948.270|INFO|Thread-23|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2323 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193948.270|INFO|Thread-23|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2323, o#2323 ) handlePacket
200603 193948.270|INFO|Thread-23|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 193948.270|INFO|Thread-23|dumpPacket|    To: TEAM73 @ site 1
200603 193948.270|INFO|Thread-23|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 221 QUEUED_FOR_COMPUTER_JUDGEMENT 94 min 5665390ms from TEAM73 @ site 1 id Run-8340792647672545717 problem KIEM_TRA_-_BAI_7--8266370855742201287 lang C/C++-5592322842927734949
200603 193950.463|INFO|Thread-24|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2327 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193950.463|INFO|Thread-24|dumpPacket|Packet RUN_JUDGEMENT (Seq #2327, o#2327 ) recieveObject
200603 193950.463|INFO|Thread-24|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 193950.463|INFO|Thread-24|dumpPacket|    To: TEAM73 @ site 1
200603 193950.463|INFO|Thread-24|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-871190264187916889 id JudgementRecord--4313135807677758193
200603 193950.463|INFO|Thread-24|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 221 JUDGED 94 min 5665390ms from TEAM73 @ site 1 id Run-8340792647672545717 problem KIEM_TRA_-_BAI_7--8266370855742201287 lang C/C++-5592322842927734949
200603 193950.464|INFO|Thread-24|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 193950.464|INFO|Thread-24|info|handlePacket start Packet[RUN_JUDGEMENT] #2327 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193950.464|INFO|Thread-24|dumpPacket|Packet RUN_JUDGEMENT (Seq #2327, o#2327 ) handlePacket
200603 193950.464|INFO|Thread-24|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 193950.464|INFO|Thread-24|dumpPacket|    To: TEAM73 @ site 1
200603 193950.464|INFO|Thread-24|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-871190264187916889 id JudgementRecord--4313135807677758193
200603 193950.464|INFO|Thread-24|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 221 JUDGED 94 min 5665390ms from TEAM73 @ site 1 id Run-8340792647672545717 problem KIEM_TRA_-_BAI_7--8266370855742201287 lang C/C++-5592322842927734949
200603 193950.464|INFO|Thread-24|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 193952.008|INFO|Thread-24|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 221 JUDGED 94 min 5665390ms from TEAM73 @ site 1 id Run-8340792647672545717 problem KIEM_TRA_-_BAI_7--8266370855742201287 lang C/C++-5592322842927734949; runFiles=null
200603 193952.009|INFO|Thread-24|runChanged|Event not for me: sent to null but my ID is TEAM73 @ site 1
200603 193952.009|INFO|Thread-24|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2327 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 193952.513|INFO|Thread-23|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2323 SERVER0 @ site 1 -> TEAM73 @ site 1
